"Country","FUEL","FUELTYPE","MW","STATUS","STYPE","Year","RETIRE"
"BB","COAL","BIT",25,"RET","SUBCR",1966,
"BB","COAL","BIT",25,"OPR","SUBCR",1966,
"BB","COAL","BIT",19,"OPR","SUBCR",2000,
"BB","COAL","BIT",25,"OPR","SUBCR",1997,
"BB","COAL","BIT",6,"OPR","SUBCR",,
"BB","COAL","BIT",12,"OPR","SUBCR",1983,
"BB","COAL","BIT",12,"OPR","SUBCR",1983,
"BB","COAL","BIT",3,"OPR","SUBCR",1998,
"BB","COAL","BIT",15,"OPR","SUBCR",1958,
"BB","COAL","LIG",5,"OPR","SUBCR",2001,
"BB","COAL","LIG",41,"OPR","SUBCR",1995,
"BB","COAL","BIT",4,"RET","SUBCR",1913,
"BB","COAL","BIT",4,"RET","SUBCR",1913,
"BB","COAL","BIT",4,"RET","SUBCR",1913,
"BB","COAL","BIT",12.8,"RET","SUBCR",1922,
"BB","COAL","BIT",14.08,"OPR","SUBCR",1994,
"BB","COAL","LIG",50,"OPR","SUBCR",1958,
"BB","COAL","LIG",50,"OPR","SUBCR",1958,
"BB","COAL","LIG",55,"OPR","SUBCR",1958,
"BB","COAL","LIG",55,"OPR","SUBCR",1959,
"BB","COAL","LIG",12,"OPR","SUBCR",1959,
"BB","COAL","LIG",103,"RET","SUBCR",1961,1993
"BB","COAL","LIG",103,"RET","SUBCR",1961,1993
"BB","COAL","LIG",103,"OPR","SUBCR",1961,
"BB","COAL","LIG",20,"RET","SUBCR",1933,
"BB","COAL","LIG",20,"RET","SUBCR",1933,
"BB","COAL","LIG",20,"RET","SUBCR",1933,
"BB","COAL","LIG",23.5,"RET","SUBCR",1938,
"BB","COAL","LIG",40,"RET","SUBCR",1953,
"BB","COAL","LIG",50,"RET","SUBCR",1954,
"BB","COAL","LIG",72,"OPR","SUBCR",2004,
"BB","COAL","LIG",25,"OPR","SUBCR",1996,
"BB","COAL","",12,"OPR","SUBCR",1991,
"BB","COAL","",32,"OPR","SUBCR",1994,
"BB","COAL","",1,"OPR","SUBCR",,
"BB","COAL","",17,"OPR","SUBCR",1993,
"BB","COAL","LIG",16,"OPR","SUBCR",1975,
"BB","COAL","LIG",16,"OPR","SUBCR",1981,
"BB","COAL","LIG",16,"OPR","SUBCR",1987,
"BB","COAL","LIG",20,"OPR","SUBCR",1997,
"BB","COAL","LIG",20,"OPR","SUBCR",1997,
"BB","COAL","LIG",70,"OPR","SUBCR",1998,
"BB","COAL","BIT",110,"RET","SUBCR",1962,1991
"BB","COAL","BIT",110,"RET","SUBCR",1962,1993
"BB","COAL","BIT",110,"RET","SUBCR",1963,1993
"BB","COAL","BIT",110,"RET","SUBCR",1963,1993
"BB","COAL","BIT",110,"RET","SUBCR",1963,1996
"BB","COAL","BIT",110,"RET","SUBCR",1964,1996
"BB","COAL","LIG",204,"OPR","SUBCR",1974,
"BB","COAL","LIG",204,"OPR","SUBCR",1974,
"BB","COAL","LIG",204,"OPR","SUBCR",1975,
"BB","COAL","LIG",204,"OPR","SUBCR",1975,
"BB","COAL","LIG",1,"OPR","SUBCR",2009,
"BB","COAL","LIG",16,"RET","SUBCR",1948,2011
"BB","COAL","LIG",22.4,"RET","SUBCR",1942,2011
"BB","COAL","LIG",22.4,"RET","SUBCR",1942,2011
"BB","COAL","LIG",22.4,"RET","SUBCR",1943,2011
"BB","COAL","LIG",22.4,"RET","SUBCR",1942,2011
"BB","COAL","LIG",22.4,"RET","SUBCR",1943,2011
"BB","COAL","LIG",22.4,"RET","SUBCR",1944,2011
"BB","COAL","LIG",16,"RET","SUBCR",1995,2011
"BB","COAL","LIG",28,"OPR","SUBCR",1992,
"BB","COAL","LIG",28,"OPR","SUBCR",1992,
"BB","COAL","LIG",25,"OPR","SUBCR",1993,
"BB","COAL","LIG",25,"OPR","SUBCR",1995,
"BB","COAL","LIG",6,"OPR","SUBCR",1963,
"BB","COAL","LIG",6,"OPR","SUBCR",1983,
"BB","COAL","LIG",1.2,"OPR","SUBCR",1986,
"BB","COAL","LIG",8.6,"OPR","SUBCR",1969,
"BB","COAL","LIG",6,"OPR","SUBCR",1999,
"BB","COAL","LIG",4,"RET","SUBCR",1974,
"BB","COAL","",16,"OPR","SUBCR",,
"BB","COAL","",16,"OPR","SUBCR",,
"BB","COAL","",22,"OPR","SUBCR",,
"BB","COAL","",25,"OPR","SUBCR",,
"BB","COAL","LIG",55,"OPR","SUBCR",1967,
"BB","COAL","LIG",55,"OPR","SUBCR",1967,
"BB","COAL","LIG",55,"OPR","SUBCR",1969,
"BB","COAL","LIG",55,"OPR","SUBCR",1971,
"BB","COAL","LIG",6,"OPR","SUBCR",1960,
"BB","COAL","LIG",6,"OPR","SUBCR",1960,
"BB","COAL","LIG",0.5,"OPR","SUBCR",2002,
"BB","COAL","",5.25,"RET","SUBCR",1938,
"BB","COAL","",6,"OPR","SUBCR",1960,
"BB","COAL","",25,"OPR","SUBCR",1996,
"BB","COAL","",30,"OPR","SUBCR",2001,
"CC","COAL","",5,"OPR","SUBCR",1956,
"CC","COAL","",7,"OPR","SUBCR",1977,
